brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,description
Ford,Utility Police Interceptor Base,2013,51000,Petrol,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,Automatic,Black,Black,1,Yes,10300,Ford Utility Police Interceptor Base Petrol 300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability Interior color: Black exterior color: Black Automatic car 2013
Hyundai,Palisade SEL,2021,34742,Petrol,3.8L V6 24V GDI DOHC,Automatic,Moonlight Cloud,Gray,1,Yes,38005,Hyundai Palisade SEL Petrol 3.8L V6 24V GDI DOHC Interior color: Gray exterior color: Moonlight Cloud Automatic car 2021
Lexus,RX 350 RX 350,2022,22372,Petrol,3.5 Liter DOHC,Automatic,Blue,Black,0,No,54598,Lexus RX 350 RX 350 Petrol 3.5 Liter DOHC Interior color: Black exterior color: Blue Automatic car 2022
INFINITI,Q50 Hybrid Sport,2015,88900,Hybrid,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,Automatic,Black,Black,0,Yes,15500,INFINITI Q50 Hybrid Sport Hybrid 354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid Interior color: Black exterior color: Black Automatic car 2015
Audi,Q3 45 S line Premium Plus,2021,9835,Petrol,2.0L I4 16V GDI DOHC Turbo,Automatic,Glacier White Metallic,Black,0,No,34999,Audi Q3 45 S line Premium Plus Petrol 2.0L I4 16V GDI DOHC Turbo Interior color: Black exterior color: Glacier White Metallic Automatic car 2021
Acura,ILX 2.4L,2016,136397,Petrol,2.4 Liter,Unknown,Silver,Ebony.,0,No,14798,Acura ILX 2.4L Petrol 2.4 Liter Interior color: Ebony. exterior color: Silver Unknown car 2016
Audi,S3 2.0T Premium Plus,2017,84000,Petrol,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,0,Yes,31000,Audi S3 2.0T Premium Plus Petrol 292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Blue Automatic car 2017
BMW,740 iL,2001,242000,Petrol,282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Green,Green,0,Yes,7300,BMW 740 iL Petrol 282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel Interior color: Green exterior color: Green Automatic car 2001
Lexus,RC 350 F Sport,2021,23436,Petrol,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,0,Yes,41927,Lexus RC 350 F Sport Petrol 311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Black Automatic car 2021
Tesla,Model X Long Range Plus,2020,34000,Unknown,534.0HP Electric Motor Electric Fuel System,Automatic,Black,Black,0,Yes,69950,Tesla Model X Long Range Plus Unknown 534.0HP Electric Motor Electric Fuel System Interior color: Black exterior color: Black Automatic car 2020
Land,Rover Range Rover Sport 3.0 Supercharged HST,2021,27608,Petrol,V6,Automatic,Fuji White,Pimento / Ebony,0,No,73897,Land Rover Range Rover Sport 3.0 Supercharged HST Petrol V6 Interior color: Pimento / Ebony exterior color: Fuji White Automatic car 2021
Aston,Martin DBS Superleggera,2019,22770,Petrol,715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,0,Yes,184606,Aston Martin DBS Superleggera Petrol 715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Silver Automatic car 2019
Toyota,Supra 3.0 Premium,2021,12500,Petrol,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Yellow,Black,0,Yes,53500,Toyota Supra 3.0 Premium Petrol 382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Yellow Automatic car 2021
Lincoln,Aviator Reserve AWD,2022,18196,Petrol,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Brown,0,Yes,62000,Lincoln Aviator Reserve AWD Petrol 400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel Interior color: Brown exterior color: Black Automatic car 2022
Jaguar,F-TYPE,2020,15903,Petrol,2.0 Liter Supercharged,Automatic,Silver,Black,0,No,47998,Jaguar F-TYPE Petrol 2.0 Liter Supercharged Interior color: Black exterior color: Silver Automatic car 2020
Land,Rover LR4 HSE,2013,79800,Petrol,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Black,0,Yes,29990,Land Rover LR4 HSE Petrol 375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: White Automatic car 2013
Mercedes-Benz,Metris Base,2021,1685,Petrol,2.0L I4 16V GDI DOHC Turbo,Automatic,Gray,White,0,Yes,250000,Mercedes-Benz Metris Base Petrol 2.0L I4 16V GDI DOHC Turbo Interior color: White exterior color: Gray Automatic car 2021
Dodge,Challenger SXT,2013,61074,Petrol,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Gray,0,Yes,16800,Dodge Challenger SXT Petrol 305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel Interior color: Gray exterior color: Black Automatic car 2013
Nissan,350Z Enthusiast,2003,74000,Petrol,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Manual,Purple,–,0,Yes,11000,Nissan 350Z Enthusiast Petrol 287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel Interior color: – exterior color: Purple Manual car 2003
Jaguar,F-TYPE R,2018,35250,Petrol,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Green,Black,0,Yes,68750,Jaguar F-TYPE R Petrol 550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Green Automatic car 2018
Genesis,GV70 3.5T Sport,2023,5400,Petrol,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Green,Beige,0,No,60000,Genesis GV70 3.5T Sport Petrol 375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel Interior color: Beige exterior color: Green Automatic car 2023
Chevrolet,S-10 LS,2000,133510,Petrol,120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability,Automatic,Blue,Black,0,Yes,4500,Chevrolet S-10 LS Petrol 120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability Interior color: Black exterior color: Blue Automatic car 2000
BMW,440 Gran Coupe 440i xDrive,2020,25990,Petrol,3.0 Liter Turbo,Automatic,White,Beige,0,No,38598,BMW 440 Gran Coupe 440i xDrive Petrol 3.0 Liter Turbo Interior color: Beige exterior color: White Automatic car 2020
Ford,F-150 XLT,2023,2823,Petrol,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Iconic Silver Metallic,Black,0,Yes,58504,Ford F-150 XLT Petrol 3.5L V6 24V PDI DOHC Twin Turbo Interior color: Black exterior color: Iconic Silver Metallic Automatic car 2023
Chevrolet,Suburban RST,2021,52000,Petrol,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,0,Yes,61000,Chevrolet Suburban RST Petrol 355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Blue Automatic car 2021
Hyundai,Elantra N Base,2022,11650,Petrol,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,0,Yes,32300,Hyundai Elantra N Base Petrol 276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Black Automatic car 2022
Nissan,Sentra SR,2016,96541,Petrol,1.8 Liter,Automatic,Blue,Black,0,No,13998,Nissan Sentra SR Petrol 1.8 Liter Interior color: Black exterior color: Blue Automatic car 2016
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,17500,Petrol,382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,0,Yes,59995,Mercedes-Benz AMG CLA 45 Base 4MATIC Petrol 382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Gray Automatic car 2021
BMW,650 Gran Coupe i xDrive,2015,69000,Petrol,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,0,Yes,25700,BMW 650 Gran Coupe i xDrive Petrol 445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel Interior color: Black exterior color: Gray Automatic car 2015
